SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ITC, EQ, 01-Oct-2018, 297.75, 300.85, 302.95, 293.40, 297.00, 297.10, 296.68, 9025533, 26776.55, 95424, 4657058, 51.60
ITDC, EQ, 01-Oct-2018, 322.85, 317.45, 324.50, 303.80, 315.10, 315.70, 312.88, 28111, 87.95, 1465, 10380, 36.93
ITDCEM, EQ, 01-Oct-2018, 118.45, 119.80, 125.20, 108.60, 122.35, 123.35, 119.22, 172542, 205.71, 2926, 113059, 65.53
ITI, EQ, 01-Oct-2018, 81.75, 82.45, 82.45, 77.20, 81.70, 80.85, 79.28, 528934, 419.35, 4811, 122556, 23.17
IVC, EQ, 01-Oct-2018, 7.75, 8.00, 8.50, 7.15, 8.50, 8.50, 7.86, 3200963, 251.47, 3381, 1172803, 36.64
IVP, EQ, 01-Oct-2018, 132.80, 136.95, 137.00, 128.20, 132.95, 132.20, 131.65, 2153, 2.83, 76, 1685, 78.26
IVRCLINFRA, BE, 01-Oct-2018, 1.00, 1.00, 1.05, 0.95, 1.05, 1.05, 1.02, 834217, 8.49, 234, -, -
IVZINGOLD, EQ, 01-Oct-2018, 2820.00, 2795.00, 2899.00, 2795.00, 2899.00, 2899.00, 2822.33, 18, 0.51, 5, 18, 100.00
IVZINNIFTY, EQ, 01-Oct-2018, 1103.10, 1163.00, 1163.00, 1132.00, 1132.00, 1132.00, 1132.43, 357, 4.04, 4, 353, 98.88
IZMO, EQ, 01-Oct-2018, 71.75, 71.95, 77.00, 65.00, 76.00, 76.25, 72.80, 74667, 54.36, 855, 37571, 50.32
J&KBANK, EQ, 01-Oct-2018, 41.30, 40.70, 43.15, 38.50, 42.60, 42.65, 41.64, 458882, 191.10, 5496, 300126, 65.40
JAGRAN, EQ, 01-Oct-2018, 113.90, 113.90, 115.60, 113.00, 115.60, 115.30, 113.85, 68347, 77.82, 1271, 55635, 81.40
JAGSNPHARM, EQ, 01-Oct-2018, 26.00, 26.00, 27.20, 23.60, 25.35, 25.00, 24.65, 10419, 2.57, 136, 8118, 77.92
JAIBALAJI, BE, 01-Oct-2018, 16.35, 15.55, 17.00, 15.55, 15.95, 15.95, 15.61, 158265, 24.70, 149, -, -
JAICORPLTD, EQ, 01-Oct-2018, 113.35, 111.95, 112.95, 92.90, 106.25, 106.05, 103.91, 1554407, 1615.26, 14394, 301646, 19.41
JALAN, SM, 01-Oct-2018, 28.25, 26.85, 26.85, 26.85, 26.85, 26.85, 26.85, 3000, 0.81, 1, 3000, 100.00
JAMNAAUTO, EQ, 01-Oct-2018, 69.65, 70.00, 74.90, 67.15, 74.50, 74.15, 71.09, 961240, 683.38, 8149, 499755, 51.99
JASH, SM, 01-Oct-2018, 101.20, 95.95, 95.95, 95.95, 95.95, 95.95, 95.95, 1200, 1.15, 1, 1200, 100.00
JAYAGROGN, EQ, 01-Oct-2018, 200.90, 197.05, 205.85, 191.00, 198.00, 200.95, 196.42, 28526, 56.03, 816, 20181, 70.75
JAYBARMARU, EQ, 01-Oct-2018, 354.90, 350.00, 359.95, 340.00, 358.00, 355.95, 346.99, 16051, 55.70, 840, 7414, 46.19
JAYNECOIND, EQ, 01-Oct-2018, 5.40, 5.40, 5.50, 5.15, 5.20, 5.20, 5.23, 95287, 4.98, 111, 69121, 72.54
JAYSREETEA, EQ, 01-Oct-2018, 88.55, 89.70, 89.70, 81.55, 83.20, 84.30, 83.79, 150510, 126.11, 2417, 42822, 28.45
JBCHEPHARM, EQ, 01-Oct-2018, 292.80, 293.90, 299.20, 281.00, 297.75, 296.75, 287.06, 55592, 159.58, 2135, 29654, 53.34
JBFIND, BE, 01-Oct-2018, 26.35, 25.05, 25.05, 25.05, 25.05, 25.05, 25.05, 20388, 5.11, 97, -, -
JBMA, EQ, 01-Oct-2018, 286.95, 285.00, 297.95, 270.05, 290.00, 286.20, 280.32, 43254, 121.25, 1641, 24536, 56.73
